Model,Class/Metric,precision,recall,f1-score,support
MFCC CRNN (128),anger,0.8753894080996885,0.7553763440860215,0.810966810966811,372.0
MFCC CRNN (128),disgust,0.7551020408163265,0.6317073170731707,0.6879150066401063,410.0
MFCC CRNN (128),fear,0.5226480836236934,0.8021390374331551,0.6329113924050633,374.0
MFCC CRNN (128),happiness,0.6592039800995025,0.6725888324873096,0.6658291457286433,394.0
MFCC CRNN (128),neutral,0.81640625,0.5870786516853933,0.6830065359477124,356.0
MFCC CRNN (128),sadness,0.6259946949602122,0.6519337016574586,0.638700947225981,362.0
MFCC CRNN (128),surprise,0.8677685950413223,0.8333333333333334,0.8502024291497976,126.0
MFCC CRNN (128),accuracy,0.691311612364244,0.691311612364244,0.691311612364244,0.691311612364244
MFCC CRNN (128),macro avg,0.7317875789486779,0.7048796025365488,0.7099331811520164,2394.0
MFCC CRNN (128),weighted avg,0.7172192963797187,0.691311612364244,0.695177914095548,2394.0
