Model,Class/Metric,precision,recall,f1-score,support
MFCC CRNN (25),anger,0.8319327731092437,0.7983870967741935,0.8148148148148148,372.0
MFCC CRNN (25),disgust,0.7352185089974294,0.697560975609756,0.7158948685857321,410.0
MFCC CRNN (25),fear,0.6878612716763006,0.6363636363636364,0.6611111111111111,374.0
MFCC CRNN (25),happiness,0.6548463356973995,0.7030456852791879,0.6780905752753978,394.0
MFCC CRNN (25),neutral,0.7342465753424657,0.7528089887640449,0.7434119278779473,356.0
MFCC CRNN (25),sadness,0.6395939086294417,0.6961325966850829,0.6666666666666666,362.0
MFCC CRNN (25),surprise,0.8916666666666667,0.8492063492063492,0.8699186991869918,126.0
MFCC CRNN (25),accuracy,0.7205513784461153,0.7205513784461153,0.7205513784461153,0.7205513784461153
MFCC CRNN (25),macro avg,0.7393380057312783,0.7333579040974644,0.7357012376455232,2394.0
MFCC CRNN (25),weighted avg,0.7232510141616842,0.7205513784461153,0.7212401776110139,2394.0
