Model,Class/Metric,precision,recall,f1-score,support
MFCC CRNN (65),anger,0.8142857142857143,0.7661290322580645,0.7894736842105263,372.0
MFCC CRNN (65),disgust,0.7402597402597403,0.6951219512195121,0.7169811320754716,410.0
MFCC CRNN (65),fear,0.7378640776699029,0.6096256684491979,0.6676427525622255,374.0
MFCC CRNN (65),happiness,0.7222222222222222,0.6928934010152284,0.7072538860103627,394.0
MFCC CRNN (65),neutral,0.6895734597156398,0.8174157303370787,0.7480719794344473,356.0
MFCC CRNN (65),sadness,0.6152073732718893,0.7375690607734806,0.6708542713567839,362.0
MFCC CRNN (65),surprise,0.9224137931034483,0.8492063492063492,0.8842975206611571,126.0
MFCC CRNN (65),accuracy,0.7251461988304093,0.7251461988304093,0.7251461988304093,0.7251461988304093
MFCC CRNN (65),macro avg,0.7488323400755083,0.7382801704655587,0.7406536037587106,2394.0
MFCC CRNN (65),weighted avg,0.7315600912861757,0.7251461988304093,0.725391501143166,2394.0
