Model,Class/Metric,precision,recall,f1-score,support
MFCC CRNN (192),anger,0.837465564738292,0.8172043010752689,0.8272108843537415,372.0
MFCC CRNN (192),disgust,0.7401574803149606,0.6878048780487804,0.7130214917825537,410.0
MFCC CRNN (192),fear,0.6886792452830188,0.5855614973262032,0.6329479768786127,374.0
MFCC CRNN (192),happiness,0.6748166259168704,0.700507614213198,0.6874221668742216,394.0
MFCC CRNN (192),neutral,0.6768447837150128,0.7471910112359551,0.7102803738317757,356.0
MFCC CRNN (192),sadness,0.6228710462287105,0.7071823204419889,0.6623544631306598,362.0
MFCC CRNN (192),surprise,0.8823529411764706,0.8333333333333334,0.8571428571428571,126.0
MFCC CRNN (192),accuracy,0.7134502923976608,0.7134502923976608,0.7134502923976608,0.7134502923976608
MFCC CRNN (192),macro avg,0.731883955339048,0.7255407079535325,0.7271971734277746,2394.0
MFCC CRNN (192),weighted avg,0.7168162396342721,0.7134502923976608,0.7135590085417269,2394.0
