Model,Class/Metric,precision,recall,f1-score,support
MFCC CRNN (14),anger,0.8157181571815718,0.8091397849462365,0.8124156545209177,372.0
MFCC CRNN (14),disgust,0.6369426751592356,0.7317073170731707,0.681044267877412,410.0
MFCC CRNN (14),fear,0.6608187134502924,0.6042780748663101,0.6312849162011173,374.0
MFCC CRNN (14),happiness,0.7444794952681388,0.5989847715736041,0.6638537271448663,394.0
MFCC CRNN (14),neutral,0.8027681660899654,0.651685393258427,0.7193798449612403,356.0
MFCC CRNN (14),sadness,0.5818965517241379,0.7458563535911602,0.6537530266343826,362.0
MFCC CRNN (14),surprise,0.823943661971831,0.9285714285714286,0.8731343283582089,126.0
MFCC CRNN (14),accuracy,0.7025898078529658,0.7025898078529658,0.7025898078529658,0.7025898078529658
MFCC CRNN (14),macro avg,0.7237953458350247,0.7243175891257625,0.7192665379568778,2394.0
MFCC CRNN (14),weighted avg,0.7123281919438196,0.7025898078529658,0.7025390335366741,2394.0
