Model,Class/Metric,precision,recall,f1-score,support
MFCC CRNN (13),anger,0.7838541666666666,0.8091397849462365,0.7962962962962963,372.0
MFCC CRNN (13),disgust,0.6851385390428212,0.6634146341463415,0.6741016109045849,410.0
MFCC CRNN (13),fear,0.6528925619834711,0.6336898395721925,0.6431478968792401,374.0
MFCC CRNN (13),happiness,0.7183908045977011,0.6345177664974619,0.6738544474393531,394.0
MFCC CRNN (13),neutral,0.7142857142857143,0.7584269662921348,0.7356948228882834,356.0
MFCC CRNN (13),sadness,0.6142506142506142,0.6906077348066298,0.6501950585175552,362.0
MFCC CRNN (13),surprise,0.9230769230769231,0.8571428571428571,0.8888888888888888,126.0
MFCC CRNN (13),accuracy,0.7050960735171261,0.7050960735171261,0.7050960735171261,0.7050960735171261
MFCC CRNN (13),macro avg,0.7274127605577018,0.7209913690576935,0.7231684316877433,2394.0
MFCC CRNN (13),weighted avg,0.7070511592117786,0.7050960735171261,0.7050617445900698,2394.0
