Model,Class/Metric,precision,recall,f1-score,support
MFCC CRNN (39),anger,0.8338028169014085,0.7956989247311828,0.8143053645116919,372.0
MFCC CRNN (39),disgust,0.7082352941176471,0.7341463414634146,0.7209580838323353,410.0
MFCC CRNN (39),fear,0.6139954853273137,0.7272727272727273,0.6658506731946144,374.0
MFCC CRNN (39),happiness,0.6719817767653758,0.748730964467005,0.7082833133253301,394.0
MFCC CRNN (39),neutral,0.7657142857142857,0.7528089887640449,0.7592067988668555,356.0
MFCC CRNN (39),sadness,0.7595419847328244,0.5497237569060773,0.6378205128205128,362.0
MFCC CRNN (39),surprise,0.8916666666666667,0.8492063492063492,0.8699186991869918,126.0
MFCC CRNN (39),accuracy,0.7259816207184628,0.7259816207184628,0.7259816207184628,0.7259816207184628
MFCC CRNN (39),macro avg,0.7492769014607888,0.7367982932586858,0.7394776351054759,2394.0
MFCC CRNN (39),weighted avg,0.7330178505518382,0.7259816207184628,0.7257245569464326,2394.0
