Model,Class/Metric,precision,recall,f1-score,support
MFCC CRNN (257),anger,0.8164383561643835,0.8010752688172043,0.8086838534599728,372.0
MFCC CRNN (257),disgust,0.7222222222222222,0.697560975609756,0.7096774193548387,410.0
MFCC CRNN (257),fear,0.8008849557522124,0.4839572192513369,0.6033333333333334,374.0
MFCC CRNN (257),happiness,0.6828087167070218,0.7157360406091371,0.6988847583643123,394.0
MFCC CRNN (257),neutral,0.6436285097192225,0.8370786516853933,0.7277167277167277,356.0
MFCC CRNN (257),sadness,0.6314496314496314,0.7099447513812155,0.6684005201560468,362.0
MFCC CRNN (257),surprise,0.8790322580645161,0.8650793650793651,0.872,126.0
MFCC CRNN (257),accuracy,0.7147034252297411,0.7147034252297411,0.7147034252297411,0.7147034252297411
MFCC CRNN (257),macro avg,0.7394949500113157,0.7300617532047726,0.726956658912176,2394.0
MFCC CRNN (257),weighted avg,0.7255047485376336,0.7147034252297411,0.7116564495607534,2394.0
