Model,Class/Metric,precision,recall,f1-score,support
MFCC CRNN (256),anger,0.8181818181818182,0.8225806451612904,0.8203753351206434,372.0
MFCC CRNN (256),disgust,0.7287234042553191,0.6682926829268293,0.6972010178117048,410.0
MFCC CRNN (256),fear,0.7174603174603175,0.6042780748663101,0.6560232220609579,374.0
MFCC CRNN (256),happiness,0.6635294117647059,0.7157360406091371,0.6886446886446886,394.0
MFCC CRNN (256),neutral,0.7284263959390863,0.8061797752808989,0.7653333333333333,356.0
MFCC CRNN (256),sadness,0.6632124352331606,0.7071823204419889,0.6844919786096256,362.0
MFCC CRNN (256),surprise,0.8709677419354839,0.8571428571428571,0.864,126.0
MFCC CRNN (256),accuracy,0.7263993316624896,0.7263993316624896,0.7263993316624896,0.7263993316624896
MFCC CRNN (256),macro avg,0.7415002178242702,0.7401989137756159,0.7394385107972791,2394.0
MFCC CRNN (256),weighted avg,0.7276715175715789,0.7263993316624896,0.7254885118077841,2394.0
