Model,Class/Metric,precision,recall,f1-score,support
MFCC CRNN (255),anger,0.7905759162303665,0.8118279569892473,0.8010610079575596,372.0
MFCC CRNN (255),disgust,0.7378917378917379,0.6317073170731707,0.6806833114323259,410.0
MFCC CRNN (255),fear,0.6875,0.5294117647058824,0.5981873111782477,374.0
MFCC CRNN (255),happiness,0.6152219873150105,0.7385786802030457,0.671280276816609,394.0
MFCC CRNN (255),neutral,0.676605504587156,0.8286516853932584,0.7449494949494949,356.0
MFCC CRNN (255),sadness,0.6638176638176638,0.643646408839779,0.6535764375876578,362.0
MFCC CRNN (255),surprise,0.9292035398230089,0.8333333333333334,0.8786610878661087,126.0
MFCC CRNN (255),accuracy,0.7030075187969925,0.7030075187969925,0.7030075187969925,0.7030075187969925
MFCC CRNN (255),macro avg,0.7286880499521349,0.7167367352196737,0.7183427039697149,2394.0
MFCC CRNN (255),weighted avg,0.7077717277895338,0.7030075187969925,0.7008309623115108,2394.0
