Model,Class/Metric,precision,recall,f1-score,support
MFCC CNN (128),anger,0.8567415730337079,0.8198924731182796,0.8379120879120879,372.0
MFCC CNN (128),disgust,0.7493540051679587,0.7073170731707317,0.7277289836888331,410.0
MFCC CNN (128),fear,0.6956521739130435,0.6417112299465241,0.6675938803894298,374.0
MFCC CNN (128),happiness,0.6976190476190476,0.7436548223350253,0.7199017199017199,394.0
MFCC CNN (128),neutral,0.71900826446281,0.7331460674157303,0.7260083449235049,356.0
MFCC CNN (128),sadness,0.6296296296296297,0.7044198895027625,0.6649282920469362,362.0
MFCC CNN (128),surprise,0.940677966101695,0.8809523809523809,0.9098360655737705,126.0
MFCC CNN (128),accuracy,0.7330827067669173,0.7330827067669173,0.7330827067669173,0.7330827067669173
MFCC CNN (128),macro avg,0.7555260942754131,0.7472991337773477,0.7505584820623261,2394.0
MFCC CNN (128),weighted avg,0.7365902743927675,0.7330827067669173,0.7339999689635323,2394.0
