Model,Class/Metric,precision,recall,f1-score,support
MFCC CNN (257),anger,0.8091397849462365,0.8091397849462365,0.8091397849462365,372.0
MFCC CNN (257),disgust,0.7400530503978779,0.6804878048780488,0.7090216010165185,410.0
MFCC CNN (257),fear,0.7,0.6363636363636364,0.6666666666666666,374.0
MFCC CNN (257),happiness,0.7202970297029703,0.7385786802030457,0.7293233082706767,394.0
MFCC CNN (257),neutral,0.7202072538860104,0.7808988764044944,0.7493261455525606,356.0
MFCC CNN (257),sadness,0.6466165413533834,0.712707182320442,0.6780551905387647,362.0
MFCC CNN (257),surprise,0.9396551724137931,0.8650793650793651,0.9008264462809917,126.0
MFCC CNN (257),accuracy,0.7326649958228906,0.7326649958228906,0.7326649958228906,0.7326649958228906
MFCC CNN (257),macro avg,0.753709833242896,0.7461793328850383,0.7489084490389165,2394.0
MFCC CNN (257),weighted avg,0.7347052224075116,0.7326649958228906,0.732709186395949,2394.0
