Model,Class/Metric,precision,recall,f1-score,support
MFCC CNN (39),anger,0.7772397094430993,0.8629032258064516,0.8178343949044586,372.0
MFCC CNN (39),disgust,0.7203791469194313,0.7414634146341463,0.7307692307692307,410.0
MFCC CNN (39),fear,0.6852941176470588,0.6229946524064172,0.6526610644257703,374.0
MFCC CNN (39),happiness,0.6867469879518072,0.7233502538071066,0.7045735475896168,394.0
MFCC CNN (39),neutral,0.7528409090909091,0.7443820224719101,0.748587570621469,356.0
MFCC CNN (39),sadness,0.6950146627565983,0.6546961325966851,0.6742532005689901,362.0
MFCC CNN (39),surprise,0.9369369369369369,0.8253968253968254,0.8776371308016878,126.0
MFCC CNN (39),accuracy,0.7305764411027569,0.7305764411027569,0.7305764411027569,0.7305764411027569
MFCC CNN (39),macro avg,0.7506360672494059,0.7393123610170774,0.7437594485258889,2394.0
MFCC CNN (39),weighted avg,0.7305879954098237,0.7305764411027569,0.7296182571401922,2394.0
