Model,Class/Metric,precision,recall,f1-score,support
MFCC CNN (192),anger,0.8266666666666667,0.8333333333333334,0.8299866131191432,372.0
MFCC CNN (192),disgust,0.7604166666666666,0.7121951219512195,0.7355163727959698,410.0
MFCC CNN (192),fear,0.7079646017699115,0.6417112299465241,0.6732117812061711,374.0
MFCC CNN (192),happiness,0.7073170731707317,0.7360406091370558,0.7213930348258707,394.0
MFCC CNN (192),neutral,0.7329545454545454,0.7247191011235955,0.7288135593220338,356.0
MFCC CNN (192),sadness,0.6357142857142857,0.7375690607734806,0.6828644501278772,362.0
MFCC CNN (192),surprise,0.9649122807017544,0.873015873015873,0.9166666666666666,126.0
MFCC CNN (192),accuracy,0.7380952380952381,0.7380952380952381,0.7380952380952381,0.7380952380952381
MFCC CNN (192),macro avg,0.7622780171635088,0.7512263327544402,0.7554932111519619,2394.0
MFCC CNN (192),weighted avg,0.7416006091075017,0.7380952380952381,0.7387140154068946,2394.0
