Model,Class/Metric,precision,recall,f1-score,support
MFCC CNN (25),anger,0.8517441860465116,0.7876344086021505,0.8184357541899442,372.0
MFCC CNN (25),disgust,0.7624309392265194,0.6731707317073171,0.7150259067357513,410.0
MFCC CNN (25),fear,0.672514619883041,0.6149732620320856,0.6424581005586593,374.0
MFCC CNN (25),happiness,0.672686230248307,0.7563451776649747,0.7120669056152927,394.0
MFCC CNN (25),neutral,0.7131147540983607,0.7331460674157303,0.7229916897506925,356.0
MFCC CNN (25),sadness,0.6329411764705882,0.7430939226519337,0.6836086404066074,362.0
MFCC CNN (25),surprise,0.9285714285714286,0.8253968253968254,0.8739495798319328,126.0
MFCC CNN (25),accuracy,0.7230576441102757,0.7230576441102757,0.7230576441102757,0.7230576441102757
MFCC CNN (25),macro avg,0.7477147620778224,0.7333943422101453,0.7383623681555542,2394.0
MFCC CNN (25),weighted avg,0.7293224407634231,0.7230576441102757,0.7240691015785059,2394.0
