Model,Class/Metric,precision,recall,f1-score,support
MFCC CNN (255),anger,0.8467966573816156,0.8172043010752689,0.8317373461012312,372.0
MFCC CNN (255),disgust,0.7319587628865979,0.6926829268292682,0.7117794486215538,410.0
MFCC CNN (255),fear,0.6978851963746223,0.6176470588235294,0.6553191489361702,374.0
MFCC CNN (255),happiness,0.7122641509433962,0.766497461928934,0.7383863080684596,394.0
MFCC CNN (255),neutral,0.7203166226912929,0.7668539325842697,0.7428571428571429,356.0
MFCC CNN (255),sadness,0.6335877862595419,0.6878453038674033,0.6596026490066225,362.0
MFCC CNN (255),surprise,0.9333333333333333,0.8888888888888888,0.9105691056910569,126.0
MFCC CNN (255),accuracy,0.7330827067669173,0.7330827067669173,0.7330827067669173,0.7330827067669173
MFCC CNN (255),macro avg,0.7537346442672002,0.7482314105710804,0.750035878468891,2394.0
MFCC CNN (255),weighted avg,0.7352314471801702,0.7330827067669173,0.7331722819048493,2394.0
