Model,Class/Metric,precision,recall,f1-score,support
MFCC CNN (96),anger,0.8547486033519553,0.8225806451612904,0.8383561643835616,372.0
MFCC CNN (96),disgust,0.7506361323155216,0.7195121951219512,0.7347447073474471,410.0
MFCC CNN (96),fear,0.7151162790697675,0.6577540106951871,0.6852367688022284,374.0
MFCC CNN (96),happiness,0.6773455377574371,0.751269035532995,0.7123947051744886,394.0
MFCC CNN (96),neutral,0.7479452054794521,0.7668539325842697,0.7572815533980582,356.0
MFCC CNN (96),sadness,0.6844919786096256,0.7071823204419889,0.6956521739130435,362.0
MFCC CNN (96),surprise,0.9105691056910569,0.8888888888888888,0.8995983935742972,126.0
MFCC CNN (96),accuracy,0.7451963241436925,0.7451963241436925,0.7451963241436925,0.7451963241436925
MFCC CNN (96),macro avg,0.7629789774678308,0.759148718346653,0.7604663523704464,2394.0
MFCC CNN (96),weighted avg,0.7472185554174006,0.7451963241436925,0.745548707640147,2394.0
