Model,Class/Metric,precision,recall,f1-score,support
MFCC CNN (14),anger,0.7948051948051948,0.8225806451612904,0.808454425363276,372.0
MFCC CNN (14),disgust,0.7319587628865979,0.6926829268292682,0.7117794486215538,410.0
MFCC CNN (14),fear,0.7121212121212122,0.6283422459893048,0.6676136363636364,374.0
MFCC CNN (14),happiness,0.7213541666666666,0.7030456852791879,0.712082262210797,394.0
MFCC CNN (14),neutral,0.743801652892562,0.7584269662921348,0.7510431154381085,356.0
MFCC CNN (14),sadness,0.6433734939759036,0.7375690607734806,0.6872586872586872,362.0
MFCC CNN (14),surprise,0.8682170542635659,0.8888888888888888,0.8784313725490196,126.0
MFCC CNN (14),accuracy,0.7314118629908104,0.7314118629908104,0.7314118629908104,0.7314118629908104
MFCC CNN (14),macro avg,0.7450902196588147,0.7473623456019366,0.745237563972154,2394.0
MFCC CNN (14),weighted avg,0.7324174780022039,0.7314118629908104,0.7308537503365988,2394.0
