Model,Class/Metric,precision,recall,f1-score,support
MFCC CNN (65),anger,0.806615776081425,0.8521505376344086,0.8287581699346406,372.0
MFCC CNN (65),disgust,0.7406483790523691,0.724390243902439,0.7324290998766955,410.0
MFCC CNN (65),fear,0.7311475409836066,0.5962566844919787,0.6568483063328424,374.0
MFCC CNN (65),happiness,0.7153652392947103,0.7208121827411168,0.718078381795196,394.0
MFCC CNN (65),neutral,0.7559055118110236,0.8089887640449438,0.7815468113975577,356.0
MFCC CNN (65),sadness,0.6734177215189874,0.7348066298342542,0.702774108322325,362.0
MFCC CNN (65),surprise,0.9426229508196722,0.9126984126984127,0.9274193548387096,126.0
MFCC CNN (65),accuracy,0.747702589807853,0.747702589807853,0.747702589807853,0.747702589807853
MFCC CNN (65),macro avg,0.7665318742231134,0.7643004936210792,0.7639791760711382,2394.0
MFCC CNN (65),weighted avg,0.7479866574442868,0.747702589807853,0.7463107142609904,2394.0
